email_text,label
Your assignment feedback is now available on the student portal.,0
The library will be closed on Friday due to maintenance.,0
Please attend the cybersecurity seminar scheduled for Monday.,0
Your tuition receipt has been uploaded to your college account.,0
The college cafeteria menu has been updated for this week.,0
Your professor has shared lecture notes for the AI class.,0
Reminder: Your student ID card is ready for pickup.,0
The IT department has scheduled network maintenance tonight.,0
Your course registration was completed successfully.,0
Please check the academic calendar for upcoming exam dates.,0
The student services office will be open from 9 AM to 5 PM.,0
Your scholarship application has been received.,0
The college career fair will be held next Wednesday.,0
Your password was changed successfully as requested.,0
Please submit your project report before the deadline.,0
The finance office has confirmed your payment.,0
Your meeting with the academic advisor is confirmed.,0
The campus gym schedule has been updated.,0
Your attendance record is available in the student portal.,0
The cybersecurity club meeting will start at 4 PM.,0
Urgent! Your account has been locked. Click this link to verify your password.,1
Your mailbox storage is full. Login immediately to avoid account suspension.,1
Congratulations! You have won a gift card. Click here to claim your prize.,1
Security alert: unusual login detected. Enter your username and password now.,1
Your bank account will be suspended unless you verify your details immediately.,1
Click this link to reset your account or your access will be disabled.,1
You have received a confidential payment. Open the attachment to view details.,1
Important notice: update your billing information to prevent service interruption.,1
Your student account has been compromised. Confirm your password urgently.,1
Claim your free laptop now by entering your college login credentials.,1
Final warning: your account will be deleted unless you verify now.,1
You are eligible for a refund. Submit your banking details immediately.,1
Open this attachment to view your secure document.,1
Your email access expires today. Login using the link below.,1
Suspicious activity detected. Provide your password to restore access.,1
You have won a scholarship. Pay a small processing fee to claim it.,1
Verify your identity now to avoid losing access to your account.,1
Your package delivery failed. Click the link to reschedule and pay a fee.,1
Immediate action required: confirm your login details within 24 hours.,1
Your account is on hold. Enter your credentials to reactivate it.,1
